TABELA,CAMPO,TIPO,DESCRIÇÃO,OBRIGATÓRIO

=== EMPRESAS ===,,,,
empresas,id,int,PK auto-increment,Sim
empresas,razaoSocial,varchar(255),Razão social,Não
empresas,nomeEmpresa,varchar(255),Nome fantasia,Sim
empresas,cnpj,varchar(20),CNPJ,Não
empresas,telefone,varchar(20),Telefone,Não
empresas,createdAt,timestamp,Data criação,Sim
empresas,updatedAt,timestamp,Data atualização,Sim

=== COLABORADORES ===,,,,
colaboradores,id,int,PK auto-increment,Sim
colaboradores,empresaId,int,FK empresa,Não
colaboradores,nome,varchar(255),Nome completo,Sim
colaboradores,cargo,varchar(100),"Direção, Gestão, Consultor Técnico",Não
colaboradores,email,varchar(320),Email,Não
colaboradores,telefone,varchar(20),Telefone,Não
colaboradores,cpf,varchar(14),CPF,Não
colaboradores,senha,varchar(255),Senha (default: 123456),Não
colaboradores,primeiroAcesso,boolean,Primeiro acesso?,Não
colaboradores,nivelAcessoId,int,FK nível de acesso,Não
colaboradores,createdAt,timestamp,Data criação,Sim
colaboradores,updatedAt,timestamp,Data atualização,Sim

=== MECANICOS ===,,,,
mecanicos,id,int,PK auto-increment,Sim
mecanicos,empresaId,int,FK empresa,Não
mecanicos,nome,varchar(255),Nome,Sim
mecanicos,email,varchar(320),Email,Não
mecanicos,telefone,varchar(20),Telefone,Não
mecanicos,cpf,varchar(14),CPF,Não
mecanicos,grauConhecimento,varchar(50),"Júnior, Pleno, Sênior",Não
mecanicos,especialidade,varchar(255),"Motor, Elétrica, Suspensão, etc",Não
mecanicos,qtdePositivos,int,Feedbacks positivos,Não
mecanicos,qtdeNegativos,int,Feedbacks negativos,Não
mecanicos,ativo,boolean,Ativo?,Não
mecanicos,createdAt,timestamp,Data criação,Sim
mecanicos,updatedAt,timestamp,Data atualização,Sim

=== RECURSOS ===,,,,
recursos,id,int,PK auto-increment,Sim
recursos,empresaId,int,FK empresa,Não
recursos,nomeRecurso,varchar(255),Nome do recurso,Sim
recursos,ultimaManutencao,date,Última manutenção,Não
recursos,horasUtilizadasMes,int,Horas utilizadas no mês,Não
recursos,valorProduzidoMes,int,Valor produzido no mês,Não
recursos,ativo,boolean,Ativo?,Não
recursos,createdAt,timestamp,Data criação,Sim
recursos,updatedAt,timestamp,Data atualização,Sim

=== CLIENTES ===,,,,
clientes,id,int,PK auto-increment,Sim
clientes,empresaId,int,FK empresa,Não
clientes,nomeCompleto,varchar(255),Nome completo,Sim
clientes,cpf,varchar(14),CPF,Não
clientes,email,varchar(320),Email,Não
clientes,telefone,varchar(20),Telefone,Não
clientes,dataNascimento,date,Data nascimento,Não
clientes,endereco,varchar(500),Endereço,Não
clientes,cep,varchar(10),CEP,Não
clientes,cidade,varchar(100),Cidade,Não
clientes,estado,varchar(2),Estado,Não
clientes,origemCadastro,varchar(100),Origem do cadastro,Não
clientes,senha,varchar(255),Senha (default: 123456),Não
