Tabela,Coluna,Tipo,Nullable,Default,Descrição
agenda_mecanicos,id,uuid,Não,gen_random_uuid(),ID único
agenda_mecanicos,status,text,Não,'agendado',Status do agendamento
agenda_mecanicos,hora_inicio,time,Não,-,Hora de início
agenda_mecanicos,data,date,Não,-,Data do agendamento
agenda_mecanicos,mechanic_id,uuid,Não,-,FK para mecânico
agenda_mecanicos,created_at,timestamp,Não,now(),Data de criação
agenda_mecanicos,vehicle_id,uuid,Sim,-,FK para veículo
agenda_mecanicos,tipo,text,Não,'normal',Tipo de agendamento
agenda_snapshots,id,uuid,Não,gen_random_uuid(),ID único
agenda_snapshots,data_agenda,date,Não,-,Data da agenda
agenda_snapshots,snapshot,jsonb,Não,-,Dados do snapshot
agenda_snapshots,created_at,timestamp,Não,now(),Data de criação
agenda_snapshots,created_by,uuid,Sim,-,Usuário que criou
appointments,id,uuid,Não,gen_random_uuid(),ID único
appointments,client_id,uuid,Não,-,FK para cliente
appointments,vehicle_id,uuid,Sim,-,FK para veículo
appointments,service_type,text,Não,-,Tipo de serviço
appointments,scheduled_date,date,Não,-,Data agendada
appointments,scheduled_time,time,Não,-,Hora agendada
appointments,status,text,Não,'agendado',Status
appointments,description,text,Sim,-,Descrição
appointments,notes,text,Sim,-,Observações
appointments,origin,text,Sim,'sistema',Origem do agendamento
appointments,confirmed_at,timestamp,Sim,-,Data de confirmação
appointments,cancelled_at,timestamp,Sim,-,Data de cancelamento
appointments,cancel_reason,text,Sim,-,Motivo do cancelamento
appointments,created_at,timestamp,Não,now(),Data de criação
appointments,updated_at,timestamp,Não,now(),Data de atualização
clients,id,uuid,Não,gen_random_uuid(),ID único
clients,name,text,Não,-,Nome do cliente
clients,phone,text,Não,-,Telefone
clients,email,text,Sim,-,Email
clients,cpf,text,Sim,-,CPF
clients,address,text,Sim,-,Endereço
clients,city,text,Sim,-,Cidade
clients,status,text,Não,'active',Status
clients,notes,text,Sim,-,Observações
clients,user_id,uuid,Sim,-,FK para auth.users
clients,total_spent,numeric,Sim,0,Total gasto
clients,last_service_date,timestamp,Sim,-,Último serviço
clients,pending_review,boolean,Não,false,Pendente revisão
